SubstationID,Region,InfrastructureAgeYears,CapacityMW,CurrentUtilizationPct,AnnualMaintenanceCost,OutagesLast5Years,ProjectedLoadGrowthPct,RiskScore
1485,North,44,1025,84.1,181220.34,1,9.12,64.07
1486,South,13,1277,57.04,853518.8,5,7.21,51.73
1487,East,31,1183,103.89,93114.79,4,3.19,61.95
1488,Central,31,924,79.62,522951.23,3,0.52,46.33
1489,Central,3,857,58.4,303973.57,4,2.24,35.2
1490,North,30,688,91.08,892857.41,2,7.53,60.38
1491,East,47,994,48.11,511425.65,3,3.94,50.11
1492,Central,4,903,85.84,805244.15,2,6.63,46.61
1493,Central,39,601,54.24,395590,2,11.61,61.09
1494,North,52,896,90.02,496971.35,3,4.77,66.35
1495,Central,21,422,69.97,717784.53,1,1.48,35.35
1496,North,54,784,72.49,647716.42,0,2.23,47.81
1497,West,42,1147,89.98,475406.63,4,6.51,68.81
1498,South,14,1063,64.63,736315.9,3,2.34,38.67
1499,West,36,640,94.65,744153.65,3,4.46,60.72
