EventID,Region,CustomerType,PeakDemandBeforeMW,PeakDemandAfterMW,DemandReductionMW,ProgramCost
1323,Central,Industrial,1432.98,1236.28,196.7,52759.66
1324,Central,Residential,839.9,745.35,94.55,27018.47
1325,Central,Industrial,1495.19,1391.88,103.31,95461.17
1326,South,Industrial,1011.78,961.85,49.93,24444.36
1327,West,Commercial,2142.46,2074.09,68.37,66592.86
1328,West,Commercial,664.67,535.14,129.53,22656.2
1329,West,Industrial,1342.74,1302.05,40.69,56286.75
1330,North,Commercial,1688.53,1625.7,62.83,64410.46
1331,South,Residential,2279.06,1948.76,330.3,68353.19
1332,South,Residential,1868.59,1568.94,299.65,78316.33
1333,East,Commercial,617,596.3,20.7,67390.64
1334,West,Residential,1697.31,1568.69,128.62,22824.36
1335,East,Residential,2291.1,1894.81,396.29,44505.14
1336,North,Residential,2131.85,1897.7,234.15,7985.55
1337,West,Industrial,1336.67,1095.06,241.61,46224.25
1338,South,Commercial,901.58,839.88,61.7,78461.34
1339,West,Residential,2027.52,1791.59,235.93,24205.26
1340,South,Industrial,723.18,689.51,33.67,53542.69
1341,Central,Commercial,2224.04,1995.65,228.39,52747.76
1342,South,Residential,800.59,705.95,94.64,22198.92
1343,North,Residential,2358.01,2217.59,140.42,17241.15
1344,West,Residential,1377.32,1178.08,199.24,43985.83
1345,South,Residential,965.4,801.44,163.96,18401.39
1346,East,Industrial,1640.43,1598.79,41.64,83759.43
1347,North,Residential,776.8,729.05,47.75,76851.8
1348,North,Residential,1192.87,955.39,237.48,36592.48
1349,North,Residential,521.91,417.95,103.96,56276.43
1350,South,Industrial,1584.95,1403.55,181.4,57618.98
1351,Central,Residential,2075.59,1909.44,166.15,14155.29
1352,West,Commercial,1258.63,1095.65,162.98,95682.32
1353,North,Residential,1762.77,1645.82,116.95,48983.88
1354,East,Residential,517.69,457.97,59.72,31970.35
1355,West,Industrial,937.36,824.91,112.45,52324.16
1356,Central,Commercial,1456.01,1337.46,118.55,48315.91
1357,Central,Industrial,978.78,956.03,22.75,76493.33
1358,West,Residential,1654.94,1513.3,141.64,71842.76
1359,South,Commercial,1706.47,1601.98,104.49,98292.69
1360,Central,Industrial,1047.36,911.87,135.49,24446.33
1361,North,Industrial,1824.08,1749.02,75.06,69435.2
1362,West,Residential,1167.26,984.66,182.6,77375.18
1363,North,Industrial,1590.72,1449.6,141.12,89176.3
1364,Central,Commercial,1332.06,1281.13,50.93,9507.57
1365,West,Residential,1348.61,1140.14,208.47,7953.91
1366,East,Residential,2032.36,1791.3,241.06,52582.36
1367,North,Residential,884.82,731.68,153.14,39388.99
1368,North,Industrial,1383.91,1245.55,138.36,53345.08
1369,Central,Residential,863.02,742.29,120.73,36590.96
1370,Central,Residential,1710.9,1407.25,303.65,24112.97
1371,East,Commercial,992.45,906.57,85.88,27772.47
1372,East,Industrial,1418.05,1251.99,166.06,60567.02
1373,South,Residential,1512.96,1347.27,165.69,50674.57
1374,East,Residential,1234.36,1166.19,68.17,47617.84
1375,Central,Residential,752.31,648.28,104.03,60202.65
1376,Central,Industrial,2157.4,1812.01,345.39,78886.36
1377,North,Industrial,2332.36,1931.22,401.14,34458.74
1378,East,Commercial,1467.12,1211.54,255.58,53383.25
1379,South,Industrial,1677.82,1611.16,66.66,39700.8
1380,East,Industrial,2004.75,1761.73,243.02,51342.85
1381,South,Commercial,537.73,515.29,22.44,41491.52
1382,North,Commercial,516.88,466.78,50.1,64147.3
1383,North,Residential,1669.96,1479.94,190.02,11773.63
1384,Central,Commercial,1047.34,991.01,56.33,14098.91
1385,North,Residential,644,601.74,42.26,12230.65
1386,South,Residential,1283.43,1063.15,220.28,32701.81
1387,North,Residential,1204.59,963.96,240.63,66643.26
1388,South,Commercial,1467.59,1293.44,174.15,58214
1389,Central,Industrial,947.4,814.81,132.59,67600.4
1390,South,Residential,2474.57,2279.08,195.49,53895.65
1391,Central,Industrial,1080.23,909.16,171.07,22034.62
1392,South,Industrial,1337.9,1270.96,66.94,62593.92
1393,East,Industrial,1366.67,1144.72,221.95,82303.03
1394,West,Commercial,2312.36,1946.45,365.91,89615.87
1395,East,Commercial,864.79,765.3,99.49,77722.09
1396,East,Commercial,1738.93,1493.32,245.61,92824.55
1397,North,Commercial,1694.87,1642.74,52.13,49358.46
1398,East,Residential,2420.4,1999.82,420.58,25505.99
1399,East,Commercial,1169.32,1031.01,138.31,40031.18
1400,Central,Industrial,1809.97,1599.63,210.34,21865.32
1401,West,Commercial,1631.95,1366.84,265.11,85570.83
1402,East,Residential,2103.23,1695.01,408.22,86931.67
1403,North,Commercial,1649.04,1437.11,211.93,88217.72
1404,South,Industrial,1432.39,1354.77,77.62,22930.87
1405,East,Residential,2097.57,1919.78,177.79,39232.77
1406,South,Industrial,2033.5,1959.65,73.85,33460.13
1407,Central,Commercial,1114.72,954.63,160.09,66777.86
1408,South,Residential,2385.6,2189.69,195.91,93685.16
1409,North,Commercial,1525.31,1393.62,131.69,67098.1
1410,Central,Industrial,2378.91,2309.25,69.66,15121.66
1411,Central,Industrial,796.57,704.18,92.39,82360.39
1412,East,Residential,815.49,761.12,54.37,55955.78
1413,South,Commercial,1303.38,1221.47,81.91,88148.34
1414,East,Commercial,1159.21,1108.8,50.41,81016.92
1415,South,Industrial,1009.68,953.99,55.69,91366.25
1416,West,Residential,1864.08,1711.04,153.04,93929.32
1417,North,Residential,744.94,660.65,84.29,90415.55
1418,Central,Industrial,1159.68,975.1,184.58,54251.84
1419,East,Commercial,2003.02,1954.95,48.07,71459.16
1420,West,Commercial,2229.42,1865.1,364.32,85708.37
1421,West,Industrial,2154.2,1990.41,163.79,32022.09
1422,West,Commercial,702.17,635.82,66.35,44064.66
1423,West,Commercial,1591.54,1444.36,147.18,88633.11
1424,North,Industrial,922.06,794.78,127.28,63285.41
1425,South,Commercial,642.26,586.58,55.68,86301.83
1426,West,Industrial,2211.11,1925.11,286,56466.55
1427,West,Commercial,2161.18,1949.42,211.76,79402.6
1428,West,Commercial,1436.26,1159.65,276.61,13929.84
1429,South,Residential,1909.07,1596.64,312.43,74497.24
1430,East,Residential,1372.15,1335.79,36.36,51640.55
1431,North,Commercial,2267.66,1916.95,350.71,41732.22
1432,Central,Industrial,567.51,486.91,80.6,32498.29
1433,South,Commercial,1139.4,1001.94,137.46,74542.83
1434,South,Residential,934.81,828.15,106.66,21898.16
1435,South,Industrial,2418.76,2071.56,347.2,7590.61
1436,West,Industrial,1528.68,1309.45,219.23,78839.01
1437,Central,Industrial,1625.23,1386.55,238.68,20459.25
1438,North,Industrial,737.26,644.16,93.1,88848.09
1439,South,Residential,1750.62,1485.42,265.2,22251.84
1440,West,Residential,2196.01,1863.8,332.21,5430.63
1441,North,Commercial,1741.03,1588.52,152.51,86190.91
1442,North,Industrial,1934.32,1864.99,69.33,63831.37
1443,West,Industrial,2304.14,1843.79,460.35,58278.98
1444,East,Commercial,1800.39,1534.09,266.3,21717.86
1445,South,Commercial,710.51,646.75,63.76,59315.26
1446,Central,Industrial,2373.86,2100.92,272.94,64960
1447,East,Residential,877.65,709.56,168.09,36689.29
1448,South,Residential,1750.46,1474.4,276.06,51623.57
1449,Central,Residential,1406.42,1306.4,100.02,82125.45
1450,Central,Commercial,1969.29,1605.6,363.69,64287.8
1451,North,Industrial,941.09,847.78,93.31,34584.8
1452,East,Commercial,1205.51,1051.82,153.69,80012.76
1453,West,Industrial,519.72,498.43,21.29,94375.94
1454,East,Commercial,1361.57,1159.14,202.43,87605.51
1455,South,Commercial,1185.2,1148.07,37.13,13507.05
1456,East,Residential,1420.25,1256.99,163.26,8176.63
1457,East,Industrial,1656.18,1351.12,305.06,61576.37
1458,West,Commercial,1207.31,1123.61,83.7,30499.61
1459,Central,Commercial,1757.34,1493.62,263.72,61023.45
1460,East,Residential,1104.36,909,195.36,38700.67
1461,West,Residential,1868.05,1606.37,261.68,88083.65
1462,Central,Commercial,1175.01,974.05,200.96,30105.27
1463,East,Commercial,1382.21,1163.42,218.79,14242.18
1464,North,Commercial,2433.05,2214.56,218.49,13019.82
1465,Central,Industrial,2289.59,2141.39,148.2,58161.03
1466,North,Industrial,1369.76,1125.27,244.49,61957.15
1467,West,Residential,1632.93,1536.93,96,28670.69
1468,East,Industrial,1297.58,1123.74,173.84,13985.35
1469,West,Residential,2462.87,2285.86,177.01,62679.46
1470,North,Commercial,1937.09,1838.01,99.08,77647.08
1471,West,Industrial,1961.76,1632,329.76,12541.7
1472,North,Industrial,703.58,579.25,124.33,92299.85
1473,Central,Residential,2085.62,1862.87,222.75,6269.16
1474,East,Industrial,942,874.04,67.96,89232.94
1475,South,Commercial,616.81,592.14,24.67,47028.88
1476,Central,Commercial,959.44,919.98,39.46,79645.6
1477,West,Industrial,715.52,659.72,55.8,24223.74
1478,East,Industrial,920.38,766.49,153.89,72048.03
1479,South,Industrial,2066.87,1699.44,367.43,90803.89
1480,North,Industrial,1624.49,1312.24,312.25,88250.63
1481,West,Commercial,1402.48,1358.83,43.65,81449.19
1482,Central,Industrial,2319.02,2134.13,184.89,9270.38
1483,Central,Residential,2093.96,1683.05,410.91,27271.21
1484,Central,Commercial,2458.31,1991.57,466.74,96843.67
1485,North,Residential,1072.49,971.82,100.67,75513.3
1486,Central,Residential,1747.1,1483.34,263.76,67415.11
1487,East,Commercial,2477.72,2425.38,52.34,98722.71
1488,East,Residential,501.4,423.26,78.14,40225.02
1489,East,Residential,570.26,482.11,88.15,27143.04
1490,North,Industrial,1222.96,981.9,241.06,40753.82
1491,South,Residential,1270.8,1149.84,120.96,93867.49
1492,North,Residential,1825.76,1585.92,239.84,55282.85
1493,Central,Industrial,2401.4,1963.5,437.9,46363.31
1494,South,Residential,846.42,816.27,30.15,21560.34
1495,West,Residential,2311.87,1995.65,316.22,91046.53
1496,West,Industrial,1115.59,999.22,116.37,32252.27
1497,South,Residential,1057.93,872.53,185.4,6927.02
1498,East,Residential,1831.91,1672.38,159.53,97478.9
1499,South,Commercial,1871.26,1641.2,230.06,80479.74
1500,Central,Industrial,1283.59,1193.63,89.96,62311.2
1501,North,Commercial,2089.5,1875.04,214.46,71033.57
1502,Central,Commercial,1160.94,999.61,161.33,5888.22
1503,Central,Residential,2282.21,1850.5,431.71,77260.63
1504,East,Industrial,1873.31,1822.45,50.86,6096.31
1505,North,Commercial,1403.44,1328.02,75.42,41248.77
1506,Central,Industrial,684.03,642.47,41.56,53440.6
1507,East,Industrial,1392.9,1298.43,94.47,73696.37
1508,South,Industrial,749.43,682.12,67.31,29227.38
1509,Central,Residential,1585.9,1437.42,148.48,18213.06
1510,South,Industrial,1488.81,1307.33,181.48,95053.93
1511,West,Industrial,1485.9,1331.88,154.02,33456.69
1512,North,Residential,1632.85,1381.96,250.89,92856.74
1513,South,Residential,1329.83,1190.79,139.04,53118.21
1514,Central,Industrial,2340.15,1884.89,455.26,38001.46
1515,East,Commercial,2478.41,2104.9,373.51,66313.14
1516,South,Residential,2245.53,1890.32,355.21,43292.01
1517,South,Residential,574.74,516.23,58.51,74465.58
1518,North,Residential,530.7,512.45,18.25,90818.6
1519,West,Commercial,1417.65,1226.64,191.01,84974.72
1520,East,Commercial,1019.05,945.97,73.08,56998.56
1521,Central,Residential,1718.4,1623.48,94.92,39626.88
1522,West,Industrial,1189.18,976.49,212.69,95666.51
1523,East,Commercial,2132.03,1937.45,194.58,93556.35
1524,West,Industrial,1090.88,962.03,128.85,12856.87
1525,West,Residential,2140.08,1856.9,283.18,57044.25
1526,Central,Residential,1492.4,1301.82,190.58,10402.01
1527,West,Commercial,2487.19,2427.61,59.58,84387.3
1528,East,Industrial,1564.56,1295.3,269.26,6622.08
1529,North,Commercial,1032.69,953.67,79.02,40785.2
1530,South,Industrial,1143.83,1061.49,82.34,90428.37
1531,Central,Commercial,861.51,795.21,66.3,69259.09
1532,North,Commercial,1095.95,888.27,207.68,57189.83
1533,West,Industrial,755,692.23,62.77,69489.96
1534,North,Residential,1270.61,1178.21,92.4,8710.74
1535,South,Commercial,1240.15,1171,69.15,87703.67
1536,West,Industrial,931.87,812.3,119.57,90164.14
1537,West,Residential,847.75,738.03,109.72,8605.87
1538,Central,Commercial,2142.29,1937.63,204.66,90207.39
1539,West,Residential,990.47,828.87,161.6,75467.02
1540,Central,Commercial,905.64,834.7,70.94,10747.31
1541,East,Industrial,1357.04,1320.37,36.67,35813.07
1542,Central,Commercial,1529.13,1244.31,284.82,39234.45
1543,West,Residential,1519.3,1365.7,153.6,84092.64
1544,West,Residential,787.99,761.46,26.53,12493.33
1545,South,Industrial,773.27,668.44,104.83,34268.45
1546,South,Commercial,578.29,493.81,84.48,16998.58
1547,South,Commercial,872.81,806.05,66.76,35486.19
1548,West,Residential,2044.43,1664,380.43,64192.43
1549,East,Commercial,1350.58,1134.43,216.15,82741.77
1550,North,Residential,2191.66,1828.79,362.87,51330.13
1551,West,Industrial,920.64,786.84,133.8,64966.16
1552,West,Industrial,2343.91,2048.55,295.36,12712.88
1553,North,Residential,1602.33,1356.09,246.24,80274.8
1554,Central,Residential,1241.48,1020.93,220.55,90388.7
1555,West,Industrial,2088.41,1964.46,123.95,79470.96
1556,North,Industrial,1012.66,914.92,97.74,63044.51
1557,West,Residential,2017.88,1685.31,332.57,38405.74
1558,Central,Industrial,1578.28,1333.2,245.08,98811.45
1559,West,Industrial,756.01,650.09,105.92,7959.45
1560,West,Commercial,543.23,520.52,22.71,87194.97
1561,East,Commercial,538.04,438.59,99.45,85275.3
1562,East,Industrial,793.2,731.75,61.45,26005.85
1563,South,Residential,1835.02,1776.74,58.28,91115.6
1564,East,Commercial,650.14,622.89,27.25,11801.59
1565,West,Commercial,2379.64,1951.63,428.01,56975.75
1566,North,Commercial,623.22,535.18,88.04,37927.8
1567,North,Residential,1872.42,1762.97,109.45,39676.35
1568,West,Residential,2200.51,2051.79,148.72,84297.68
1569,Central,Industrial,564.78,517.24,47.54,70218.24
1570,Central,Commercial,2012.46,1718.92,293.54,16361.55
1571,North,Residential,1673.96,1356.51,317.45,30496.99
1572,East,Industrial,2253.95,2010.55,243.4,28928.43
1573,West,Industrial,1577.69,1514.94,62.75,47039.05
1574,Central,Industrial,971.39,927.33,44.06,72664.07
1575,South,Residential,1001.09,974.2,26.89,14543.59
1576,Central,Residential,1563.78,1479.62,84.16,19899.97
1577,South,Residential,1351.37,1157.53,193.84,57906.11
1578,North,Industrial,1794.73,1694.25,100.48,93969.9
1579,North,Residential,1650.91,1580.91,70,47428.78
1580,South,Industrial,2011.62,1832.72,178.9,69751.48
1581,West,Commercial,1450.86,1373.56,77.3,7347.88
1582,East,Commercial,1520.63,1254.33,266.3,35052.47
1583,West,Residential,895.1,804.14,90.96,88611.33
1584,South,Commercial,1122.19,993.04,129.15,39763.11
1585,North,Residential,1022.37,909.37,113,79291.74
1586,Central,Industrial,660.22,594.79,65.43,83927.58
1587,East,Commercial,1087.81,958.5,129.31,62597.05
1588,East,Industrial,1541.06,1262.89,278.17,60383.65
1589,West,Commercial,2469.5,2167.79,301.71,65444.87
1590,South,Commercial,1930.34,1834.4,95.94,98174.79
1591,Central,Industrial,1605.06,1417.29,187.77,64931.96
1592,East,Residential,2472.49,2416.17,56.32,67526.41
1593,Central,Commercial,1821.66,1653.22,168.44,6131.5
1594,Central,Industrial,1088.92,910.12,178.8,24337.26
1595,Central,Industrial,793.16,652.38,140.78,9934.02
1596,North,Commercial,1796.47,1586.24,210.23,40705.5
1597,Central,Commercial,2192,2025.16,166.84,99034.14
1598,Central,Residential,1235.6,1184.81,50.79,81533.12
1599,Central,Industrial,1007.15,937.55,69.6,48367.26
1600,East,Industrial,1365.43,1227.75,137.68,62920.3
1601,West,Residential,1267.97,1088.67,179.3,78076.21
1602,Central,Industrial,1125.6,1092.94,32.66,12542.62
1603,North,Commercial,897.36,862.37,34.99,26172.62
1604,East,Residential,1784.36,1686.54,97.82,66578.66
1605,Central,Commercial,2150.63,1731.46,419.17,18260.32
1606,North,Residential,2065.5,1908.82,156.68,82568.95
1607,North,Industrial,1518.9,1404.98,113.92,82248.82
1608,North,Industrial,732.57,610.16,122.41,92916.86
1609,East,Commercial,1027.28,833.23,194.05,72476.92
1610,East,Commercial,2031.13,1704.87,326.26,32856.44
1611,Central,Residential,1844.33,1783.89,60.44,91811.94
1612,East,Residential,2445.48,2263.94,181.54,65936.86
1613,East,Residential,2040.92,1954.05,86.87,69862.1
1614,North,Commercial,2272.86,1980.24,292.62,37720.82
1615,Central,Commercial,1463.28,1410.52,52.76,88435.02
1616,West,Residential,1640.88,1338.94,301.94,28077.53
1617,Central,Residential,709.53,669.44,40.09,30323.45
1618,South,Industrial,609.95,555.76,54.19,58324.81
1619,North,Residential,793.55,724.78,68.77,39641.47
1620,North,Commercial,1636.57,1384.56,252.01,95896.13
1621,North,Residential,837.26,800.18,37.08,69795.14
1622,Central,Residential,1146.93,1057.48,89.45,18846.68
1623,South,Residential,2028.1,1798.32,229.78,86031.14
1624,Central,Commercial,959.33,777.53,181.8,95300.45
1625,Central,Industrial,1290.48,1253.07,37.41,84038.96
1626,West,Residential,1221.11,1107.9,113.21,47445.35
1627,Central,Residential,2115.54,1984.78,130.76,8196.71
1628,North,Commercial,1971.13,1913.2,57.93,85200.26
1629,North,Commercial,1928.34,1819.38,108.96,32501.13
1630,East,Residential,2470.39,2151.95,318.44,41612.68
1631,Central,Residential,923.79,814.61,109.18,12854.46
1632,West,Residential,2176.16,1829.63,346.53,7614.27
1633,South,Residential,1177.36,1023.68,153.68,29787.11
1634,East,Residential,1513.25,1361.98,151.27,15697.8
1635,Central,Industrial,1204.97,980.5,224.47,23668.36
1636,East,Residential,2039.45,1854.18,185.27,62873.22
1637,West,Residential,1530.3,1458.16,72.14,81941.57
1638,North,Residential,1811.24,1582.73,228.51,7670.74
1639,West,Commercial,1311.61,1246.67,64.94,96513.94
1640,Central,Industrial,578.19,516.84,61.35,56961.8
1641,South,Residential,824.16,789.77,34.39,39857.49
1642,North,Commercial,770.85,621.75,149.1,90790.83
1643,West,Industrial,2326.08,1925.46,400.62,16494.38
1644,South,Industrial,1949.73,1689.68,260.05,60215.81
1645,North,Residential,1296.79,1181.71,115.08,87264.45
1646,Central,Industrial,1073.43,1049.92,23.51,51621.82
1647,North,Commercial,1066.47,933.84,132.63,14378.96
1648,South,Industrial,1312,1172.09,139.91,17614.09
1649,South,Industrial,1048.65,1013.97,34.68,18428.28
1650,West,Residential,2059.52,1876.15,183.37,72804.52
1651,North,Residential,2303.15,1972.06,331.09,56691.74
1652,Central,Commercial,1658.52,1384.76,273.76,7532.27
1653,East,Industrial,2399.34,1951.27,448.07,22651.51
1654,North,Commercial,2063.71,2005.03,58.68,6177.69
1655,South,Commercial,787.84,710.9,76.94,25263.27
1656,North,Residential,2130.47,1898.8,231.67,25360.64
1657,North,Commercial,2115.98,2021.15,94.83,31726.6
1658,East,Commercial,2234.08,1803.49,430.59,63788.94
1659,Central,Residential,2256.31,1853.58,402.73,40001.42
1660,East,Commercial,1533.22,1437.49,95.73,26395.68
1661,West,Industrial,2141.65,1853.89,287.76,51870.33
1662,West,Residential,590.22,572.61,17.61,68762.45
1663,South,Residential,1770.44,1506.07,264.37,85101.64
1664,East,Residential,1095.14,924.24,170.9,9549.98
1665,North,Industrial,1646.25,1583.2,63.05,36304.39
1666,West,Industrial,1287.92,1036.9,251.02,65213.1
1667,West,Industrial,2258.78,2107.91,150.87,62857.85
1668,Central,Commercial,714.67,632.25,82.42,72908.84
1669,East,Commercial,1765.8,1549.3,216.5,27106.17
1670,Central,Commercial,770.96,619.37,151.59,73355.26
1671,North,Residential,508.08,419.21,88.87,61951.69
1672,South,Commercial,1752.84,1610.83,142.01,77011.46
1673,North,Commercial,2003.44,1908.79,94.65,83814.96
1674,South,Industrial,1801.71,1736.28,65.43,94668.76
1675,Central,Industrial,1075.16,1025.07,50.09,96798.95
1676,North,Industrial,906.31,826.81,79.5,90871.94
1677,East,Residential,1499.71,1344.89,154.82,99051.21
1678,South,Industrial,2322.67,2269.03,53.64,67981.19
1679,Central,Residential,1912.83,1573.63,339.2,58477.46
1680,South,Commercial,1499.22,1241.02,258.2,59387.22
1681,West,Industrial,1439.57,1383.87,55.7,84881.24
1682,East,Commercial,2227.57,1994.03,233.54,11906.3
1683,West,Residential,1237,1147.81,89.19,44373.17
1684,West,Residential,736.72,671.35,65.37,18631.3
1685,West,Industrial,1274.75,1024.81,249.94,92082.14
1686,West,Residential,2450.73,2290.01,160.72,45302.82
1687,South,Commercial,2212.56,1939.95,272.61,16660.63
1688,East,Industrial,1632.39,1475.01,157.38,85679.72
1689,West,Commercial,2415.3,2273.82,141.48,84581.41
1690,West,Commercial,2196.22,2142.09,54.13,9209.59
1691,North,Industrial,975.25,783.05,192.2,38384
1692,North,Commercial,1138.45,989.71,148.74,49733.46
1693,South,Commercial,674.1,617.77,56.33,95342.08
1694,North,Residential,2339.17,2056.11,283.06,39882.95
1695,Central,Industrial,1900.23,1835.76,64.47,6335.1
1696,East,Commercial,1312.28,1264.73,47.55,94173.48
1697,West,Commercial,1683.44,1614.93,68.51,87116.32
1698,West,Residential,2167.26,2034.43,132.83,82157.86
1699,Central,Industrial,1670.08,1502.95,167.13,92005.09
1700,East,Residential,1019.97,934.21,85.76,27909.02
1701,North,Residential,844.92,716.56,128.36,78625.91
1702,West,Industrial,1118.02,970.19,147.83,92363.18
1703,West,Residential,802.94,734.28,68.66,86905.77
1704,West,Residential,855.23,721.56,133.67,32443.14
1705,North,Commercial,2257.78,1813.96,443.82,97817.06
1706,North,Residential,1122.78,1077.7,45.08,23284.42
1707,West,Residential,1369.55,1239.26,130.29,70759.75
1708,East,Commercial,2120.45,2052.85,67.6,9415.74
1709,East,Residential,2488.52,1996.5,492.02,81062.28
1710,North,Industrial,2445,2344.16,100.84,38063.39
1711,North,Residential,2210.91,1881.46,329.45,79131.35
1712,North,Residential,1650.77,1349.2,301.57,58721.98
1713,Central,Commercial,564.12,515.87,48.25,56009.69
1714,North,Industrial,2103.72,1900.85,202.87,67401.33
1715,South,Commercial,1180.31,1035.24,145.07,63494.94
1716,South,Industrial,1939.74,1674.18,265.56,34135.26
1717,Central,Industrial,1115.02,922.63,192.39,29272.96
1718,North,Residential,2181.18,1844.74,336.44,46768.25
1719,South,Industrial,509.81,488.19,21.62,86780.18
1720,West,Residential,1310.06,1177.99,132.07,27177.8
1721,North,Commercial,853.1,725.79,127.31,24818.4
1722,East,Residential,1086.93,1032.87,54.06,88402.85
1723,Central,Residential,2396.54,2096.99,299.55,80693.5
1724,North,Residential,983.16,850.9,132.26,5007.64
1725,West,Residential,1910.41,1796.73,113.68,19032.02
1726,Central,Commercial,973.37,789.31,184.06,44307.44
1727,Central,Commercial,1090.82,1003.98,86.84,85859.98
1728,West,Commercial,736.73,647.38,89.35,41895.83
1729,South,Industrial,765.65,701.88,63.77,6755.28
1730,South,Industrial,1549.07,1373.34,175.73,25264.77
1731,South,Residential,1015.94,979.54,36.4,48857.63
1732,Central,Commercial,1910.08,1798.75,111.33,56518.92
1733,South,Commercial,625.59,609.62,15.97,13243.86
1734,West,Industrial,1042.88,906.04,136.84,45910.24
1735,West,Industrial,1862.17,1534.99,327.18,6540.2
1736,Central,Commercial,532.2,472.13,60.07,15606.36
1737,Central,Commercial,2288.43,1878.41,410.02,45684.14
1738,West,Industrial,1821.04,1678.36,142.68,69782.98
1739,Central,Residential,1012.82,863.26,149.56,54777.93
1740,North,Industrial,2335.08,2269.91,65.17,97851.86
1741,North,Residential,572.57,471.5,101.07,73039.63
1742,South,Commercial,1151.36,1001.75,149.61,49312.68
1743,North,Industrial,1506.49,1459.69,46.8,31316.21
1744,East,Residential,1964.24,1625.46,338.78,98515.13
1745,North,Commercial,2465.08,2126.78,338.3,91286.77
1746,Central,Commercial,756.02,633.64,122.38,34839.37
1747,Central,Commercial,1052.09,898.74,153.35,61508.8
1748,North,Industrial,2212.66,1999.49,213.17,72245.01
1749,North,Residential,557.9,477.47,80.43,96051.8
1750,West,Commercial,1829.44,1583.33,246.11,85978.9
1751,West,Commercial,603.54,528.7,74.84,49148.23
1752,West,Industrial,1948.08,1839.6,108.48,77735.01
1753,West,Industrial,1491.43,1232.44,258.99,55065.48
1754,East,Residential,777.97,659.95,118.02,99875.98
1755,South,Commercial,2210.5,1953,257.5,7770.3
1756,Central,Commercial,2499.97,2416.95,83.02,44021.75
1757,East,Industrial,1638.88,1582.66,56.22,99397.68
1758,North,Commercial,1681.95,1494.81,187.14,21270.58
1759,North,Commercial,1738.57,1494.92,243.65,55701.53
1760,South,Commercial,1266.39,1074.56,191.83,23007.31
1761,South,Industrial,596.87,546.32,50.55,27552.31
1762,West,Residential,1744.61,1659.43,85.18,98722.13
1763,South,Commercial,888.95,854.7,34.25,85750.5
1764,South,Residential,1610.94,1464.5,146.44,72277.09
1765,South,Industrial,1699.13,1442.17,256.96,11048.96
1766,South,Residential,1137.19,918.95,218.24,7528.04
1767,West,Residential,578.26,512.04,66.22,95500.94
1768,South,Industrial,2389.1,2147.36,241.74,97304.51
1769,East,Residential,792.64,672.49,120.15,7040.63
1770,West,Residential,1876.84,1501.87,374.97,76486.81
1771,North,Residential,2066.83,1863.48,203.35,47498.02
1772,East,Commercial,2137.46,1974.5,162.96,43962.47
1773,East,Residential,1262.98,1116.81,146.17,11475.4
1774,South,Industrial,2423.21,2074.13,349.08,59491.39
1775,West,Commercial,785.84,740.02,45.82,69506.1
1776,West,Industrial,1938.04,1767.6,170.44,56075.63
1777,East,Industrial,2446.59,1972.69,473.9,47990.48
1778,Central,Commercial,2226.89,1874.2,352.69,25159.93
1779,Central,Commercial,1620.37,1468.72,151.65,21665.15
1780,Central,Industrial,2139.47,1768.87,370.6,35939.6
1781,South,Industrial,1077.99,915.69,162.3,65341.19
1782,West,Commercial,941.05,814.4,126.65,17896.59
1783,West,Industrial,589.1,574.15,14.95,25415.43
1784,East,Commercial,1976.54,1701.86,274.68,67141.15
1785,North,Commercial,1211.93,1051.97,159.96,63482.95
1786,North,Residential,1673.61,1506.27,167.34,27211.9
1787,East,Residential,2014.32,1847.77,166.55,88284.86
1788,North,Residential,2091.45,1815.92,275.53,29304.82
1789,South,Residential,1787.93,1435.26,352.67,73840.03
1790,North,Commercial,1328.47,1269.99,58.48,61086.25
1791,North,Industrial,1784.58,1669.41,115.17,19280.1
1792,West,Commercial,1610.1,1557.48,52.62,10099.25
1793,North,Industrial,2015.71,1874.52,141.19,62351.64
1794,South,Industrial,2275.21,1940.29,334.92,55804.3
1795,North,Commercial,1521.24,1393.83,127.41,91735.43
1796,Central,Residential,1464.35,1374.2,90.15,14333.82
1797,North,Industrial,2380.79,1983.99,396.8,11426.36
1798,North,Industrial,2385.7,2099.69,286.01,97602.57
1799,East,Residential,1775.49,1423.82,351.67,65504.74
1800,South,Industrial,827.07,679.72,147.35,31504.16
1801,West,Commercial,1161.47,1005.36,156.11,75873.08
1802,Central,Residential,2057.93,1891.11,166.82,31179.99
1803,East,Commercial,1905.27,1536.5,368.77,57325.86
1804,Central,Residential,1543.77,1482.02,61.75,10033.41
1805,Central,Residential,975.08,857.44,117.64,70579.09
1806,West,Industrial,769.74,644.42,125.32,85456.07
1807,Central,Commercial,1259.98,1155.47,104.51,9541.43
1808,South,Industrial,1932.06,1671.61,260.45,18864.53
1809,West,Industrial,2399.85,2261.71,138.14,38625.98
1810,West,Industrial,1742.87,1684.94,57.93,59785.35
1811,West,Industrial,2298.51,2233.49,65.02,26840.43
1812,East,Commercial,1797.4,1679.58,117.82,82798.66
1813,West,Industrial,1239.95,1210.28,29.67,45510.27
1814,South,Commercial,610.71,565.37,45.34,57734.75
1815,Central,Commercial,1260.77,1072.46,188.31,93336.9
1816,West,Industrial,1209,1126.97,82.03,21977.53
